1285
0,810
0,874
1,111
3,181
3,345
3,351
3,535
3,568
5,142
5,204
5,206
5,298
5,317
5,366
5,402
5,407
5,521
5,582
5,773
5,797
5,798
5,799
5,800
5,808
5,848
5,965
5,1047
5,1183
5,1272
7,61
7,179
7,313
7,320
7,327
7,331
7,335
7,351
7,361
7,465
7,491
7,508
7,528
7,549
7,735
7,805
7,943
7,958
7,1265
11,60
11,261
11,873
12,38
12,159
12,278
12,784
12,805
12,859
12,1175
12,1176
12,1179
13,85
13,894
14,15
15,14
17,111
17,335
18,335
18,373
18,826
18,1009
20,421
20,452
20,803
20,1095
21,1165
22,461
24,41
24,167
24,824
24,1144
24,1188
24,1202
25,1044
26,252
29,291
29,297
29,508
31,38
31,105
31,149
31,410
31,433
31,486
31,677
31,914
31,942
31,950
31,963
31,990
31,1159
31,1175
31,1176
31,1179
32,1218
33,111
33,351
33,568
33,1265
34,538
34,543
34,545
34,548
34,1175
34,1176
34,1179
36,167
36,1270
37,681
37,1209
38,12
38,245
38,348
38,363
38,538
38,545
38,548
38,609
38,629
38,656
38,690
38,691
38,784
38,849
38,859
38,914
38,990
38,1159
38,1175
38,1176
38,1179
39,38
39,40
39,105
39,149
39,152
39,245
39,357
39,361
39,461
39,510
39,545
39,609
39,622
39,626
39,627
39,672
39,674
39,720
39,784
39,848
39,859
39,942
39,1154
39,1159
39,1165
39,1166
39,1175
39,1176
39,1215
39,1239
39,1244
39,1253
42,132
42,186
42,259
42,427
42,454
42,555
42,581
42,759
42,957
42,1061
42,1145
43,1224
44,328
44,1164
46,69
46,103
46,104
46,126
46,458
46,957
46,1061
46,1225
47,481
47,487
47,676
47,681
47,848
47,937
47,1154
47,1175
47,1215
47,1253
48,245
48,278
48,461
48,622
48,626
48,672
48,674
48,685
48,686
48,717
48,727
48,930
48,989
48,1154
48,1165
48,1166
48,1231
48,1239
48,1242
48,1243
48,1244
48,1250
48,1253
49,287
49,356
50,71
50,73
50,79
50,115
50,117
51,973
52,71
52,73
52,77
52,115
52,117
52,1154
55,535
55,741
56,454
56,601
56,957
57,108
57,168
57,414
57,423
57,434
57,454
57,470
57,473
57,478
57,599
57,753
57,756
57,782
57,957
57,1061
57,1103
57,1130
58,317
58,713
58,819
58,1065
58,1072
58,1091
58,1093
59,57
60,235
60,261
60,281
60,386
60,478
60,643
60,866
60,929
60,956
60,1056
60,1208
60,1283
61,335
61,625
61,805
62,660
62,1192
63,235
64,235
64,340
64,643
64,665
64,671
64,974
64,1140
65,235
65,874
66,640
67,642
68,1011
69,46
69,103
69,104
69,126
69,457
69,458
69,599
69,1131
69,1228
71,50
71,52
71,73
71,77
71,79
71,115
71,117
71,784
72,155
73,54
73,71
73,79
73,450
73,720
73,1154
74,112
74,335
74,830
75,727
75,1165
75,1189
75,1253
76,122
76,427
76,428
76,581
76,699
76,709
76,754
76,756
76,999
76,1101
76,1110
77,52
77,71
77,79
77,117
77,720
77,1154
78,622
78,674
78,720
78,1231
79,52
79,71
79,73
79,77
79,117
79,450
79,704
79,720
80,202
80,1011
80,1272
81,854
81,874
83,251
83,607
83,891
84,213
84,848
85,894
85,926
86,85
87,85
90,1211
92,874
92,927
92,1140
93,94
94,93
94,392
94,412
94,673
94,723
94,724
94,865
94,1122
95,191
95,355
95,675
95,693
95,728
95,734
95,738
95,787
95,882
95,930
95,935
95,970
95,973
95,1007
95,1041
95,1099
95,1147
95,1148
95,1167
95,1209
95,1213
95,1218
96,877
96,1107
97,218
97,676
97,1165
